city_area_name;legacyNortrafMpn;base_year;agreement_start;trp_id;kommentar
Grenland sykkel;800518;2016;2016;57192B1687248;
Grenland sykkel;800519;2016;2016;57692B1981530;
Grenland sykkel;800520;2016;2016;21538B1865084;
Grenland sykkel;800521;2016;2016;34958B521263;
Grenland sykkel;800522;2016;2016;73718B1688281;
Grenland sykkel;800523;2016;2016;96436B1688765;
Grenland sykkel;800524;2016;2016;81577B1876809;
Grenland sykkel;800525;2016;2016;69207B1875240;
Grenland sykkel;800526;2016;2016;55556B1864967;
Grenland sykkel;800527;2016;2016;00264B521464;
Grenland sykkel;800528;2016;2016;67987B1846201;
Grenland sykkel;800529;2016;2016;22594B1846448;
Grenland sykkel;800535;2016;2016;65361B1964954;
Grenland sykkel;800537;2016;2016;47211B491325;
Kristiansand kommune;1000007;2017;2017;02489V121427;
Kristiansand kommune;1000008;2017;2017;47215V121446;
Kristiansand kommune;1000057;2017;2017;47077V121488;
Kristiansand kommune;1000062;2017;2017;95764V121488;
Kristiansand kommune;1000071;2017;2017;45924V1955584;
Kristiansand kommune;1000073;2017;2017;28135V121429;
Kristiansand kommune;1000074;2017;2017;78704V121429;
Kristiansand kommune;1000075;2017;2017;00000V1702725;
Kristiansand kommune;1000101;2017;2017;01355V1702751;
Kristiansand kommune;1000126;2017;2017;06702V121764;
Kristiansand kommune;1000130;2017;2017;57502V121402;
Kristiansand kommune;1000153;2017;2017;02466V121760;
Kristiansand kommune;1000155;2017;2017;25833V121761;
Kristiansand kommune;1000246;2017;2017;26071V121746;
Kristiansand kommune;1000270;2017;2017;47254V121508;
Kristiansand kommune;1000272;2017;2017;27139V121510;
Kristiansand kommune;1000275;2017;2017;22540V121303;
Kristiansand kommune;1000278;2017;2017;00000V1702751;
Kristiansand kommune;1000288;2017;2017;12556V121486;
Kristiansand kommune;1000293;2017;2017;05898V121506;
Kristiansand kommune;1000315;2017;2017;04110V121776;
Kristiansand kommune;1000730;2017;2017;16947V121800;
Trondheim;;2019;2019;20570V72811;
Trondheim;;2019;2019;06970V72811;
Trondheim;;2019;2019;21801V72158;
Trondheim;;2019;2019;94210V2411536;
Trondheim;;2019;2019;44210V2411509;
Trondheim;;2019;2019;40649V2411511;
Trondheim;;2019;2019;14772V41375;
Trondheim;;2019;2019;27372V72852;
Trondheim;;2019;2019;17909V41450;
Trondheim;;2019;2019;75341V41863;
Trondheim;;2019;2019;65625V41945;
Trondheim;;2019;2019;06750V2429605;
Trondheim;;2019;2019;81008V41567;
Trondheim;;2019;2019;90656V41781;
Trondheim;;2019;2019;25280V41723;
Trondheim;;2019;2019;48351V2411216;
Trondheim;;2019;2019;16219V72812;
Trondheim;;2019;2019;10236V72161;
Trondheim;;2019;2019;88356V72157;
Trondheim;;2019;2019;34938V72813;
Trondheim;;2019;2019;04300V72813;
Trondheim;;2019;2019;03476V41818;
Trondheim;;2019;2019;84826V42881;
Trondheim;;2019;2019;46684V1842951;
Trondheim;;2019;2019;77022V72359;
Trondheim;;2019;2019;09604V1677439;
Trondheim;;2019;2019;81077V72158;
Trondheim;;2019;2019;73951V2394243;
Trondheim;;2019;2019;21571V2394246;
Trondheim;;2019;2019;18672V578623;
Trondheim;;2019;2019;32279V578595;
