"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"index_19";"index_20";"index_21";"index_22";"index"
"77294V2571508";"Roås";"FV152 S6D1 m1657";"Fv 152";"Viken";"Nordre Follo";59,73631;10,842389;"0.77294@2571508";200135;2021;100;100;10520;9640;880;-2,3;-2,04;-4,77;22,05;11,2
"10924V2275488";"Mastemyrveien N1";"FV152 S7D1 m6023";"Fv 152";"Viken";"Nordre Follo";59,81622;10,789545;"0.10924@2275488";NA;2021;100;99;7070;6360;620;NA;NA;-8,82;16,81;NA
"22654V443542";"Nygårdskrysset Xf";"FV154 S1D1 m345";"Fv 154";"Viken";"Ås";59,723704;10,790287;"0.22654@443542";NA;2021;100;100;16970;15420;1480;NA;0;-4,32;16,82;NA
"59048V2545015";"Råken Enebakk";"FV155 S2D1 m4368";"Fv 155";"Viken";"Enebakk";59,739359;11,008669;"0.59179@2545015";NA;2021;95,88;99;4230;3740;460;NA;NA;-6,22;6,7;NA
"27857V444273";"Nessetveien";"FV156 S1D1 m9277";"Fv 156";"Viken";"Ås";59,724113;10,729355;"0.27857@444273";NA;2021;100;100;8680;7820;860;NA;-0,23;-2,58;-4,58;NA
"60538V443575";"Blåkollen";"FV158 S1D1 m1767";"Fv 158";"Viken";"Lørenskog";59,944016;10,992731;"0.60538@443575";NA;2021;100;100;11150;10350;760;NA;NA;-7,42;24,31;NA
"63827V443579";"Nordbyveien";"FV158 S1D1 m5944";"Fv 158";"Viken";"Lillestrøm";59,974641;11,003592;"0.63827@443579";NA;2021;100;99;14460;13370;980;NA;-1,85;-3,3;10,65;NA
"00492V443603";"Oslo Grense";"FV160 S1D1 m5";"Fv 160";"Viken";"Bærum";59,926714;10,625671;"0.00492@443603";200119;2021;100;99;10270;9680;530;0,6;-3,8;-4,48;12,83;4,3
"90390V443603";"Bærum Ringstadbekk";"FV160 S1D1 m2026";"Fv 160";"Viken";"Bærum";59,920042;10,596108;"0.9039@443603";202082;2021;100;100;8300;7900;400;0,4;-9,7;-7,34;16,32;-2,3
"80669V444288";"Brynsv V/Levre";"FV164 S2D1 m1791";"Fv 164";"Viken";"Bærum";59,905406;10,513921;"0.80669@444288";NA;2021;100;99;7240;6500;710;NA;0;-8,38;-22,43;NA
"51809V443636";"Blakstad Nord";"FV165 S1D1 m5173";"Fv 165";"Viken";"Asker";59,821448;10,464775;"0.51809@443636";NA;2021;100;100;12100;11040;1060;NA;-0,39;-2,73;1,87;NA
"48300V443646";"Fornebuveien";"FV166 S1D1 m401";"Fv 166";"Viken";"Bærum";59,905127;10,629208;"0.483@443646";209676;2021;73,12;99;21830;19480;2190;-1,1;NA;NA;NA;NA
"15135V443654";"Asker Xfv207 Sikta";"FV167 S2D1 m5955";"Fv 167";"Viken";"Asker";59,824722;10,435775;"0.15134@443654";NA;2021;100;100;18620;17340;1270;NA;-8,77;-4,15;17,56;NA
"00222V444290";"Lysakerelva";"FV168 S1D1 m12";"Fv 168";"Viken";"Bærum";59,952675;10,6338;"0.00222@444290";200120;2021;100;100;10650;9970;660;-1,6;-1,83;-3,66;10,43;2,8
"13322V443660";"Lommedalsveien";"FV168 S2D1 m2969";"Fv 168";"Viken";"Bærum";59,937983;10,501818;"0.13322@443660";NA;2021;100;100;13090;11820;1220;NA;NA;-0,24;8,68;NA
"55647V444294";"A-H Lierfoss";"FV170 S3D1 m5517";"Fv 170";"Viken";"Aurskog-Høland";59,919055;11,529458;"0.55645@444294";NA;2021;99,72;100;7220;6380;820;NA;NA;-4,94;13,83;NA
"16271V444295";"Hval";"FV171 S1D1 m2203";"Fv 171";"Viken";"Lillestrøm";60,019579;11,126807;"0.16271@444295";NA;2021;96,71;100;7900;7060;840;NA;-7,76;-6,04;13,34;NA
"32982V443679";"Industriveien Jessheim";"FV174 S2D1 m2775";"Fv 174";"Viken";"Ullensaker";60,151984;11,188145;"0.32982@443679";NA;2021;100;100;8470;7850;620;NA;NA;-3,6;13,9;NA
"81350V444302";"Nordre Brauter";"FV175 S3D1 m6096";"Fv 175";"Viken";"Nes";60,103979;11,443003;"0.8135@444302";NA;2021;100;100;2550;2390;160;NA;1,19;3,45;5,69;NA
"18012V444303";"Årnes Runni";"FV175 S4D1 m1552";"Fv 175";"Viken";"Nes";60,134365;11,484977;"0.18118@444303";NA;2021;100;100;3620;3280;330;NA;-6,56;-0,59;9,33;NA
"84303V443695";"Sand Ullensaker";"FV178 S2D1 m2850";"Fv 178";"Viken";"Ullensaker";60,151207;11,139523;"0.84307@443695";NA;2021;100;100;6400;6000;400;NA;-5,08;7,1;2,42;NA
"01615V443711";"Garmo";"FV181 S1D1 m713";"Fv 181";"Viken";"Eidsvoll";60,328987;11,207085;"0.01615@443711";NA;2021;100;100;9940;8970;930;NA;NA;4,15;8,19;NA
"14487V2479113";"Fv 6 Vestby Storsenter";"FV1361 S1D10 m151";"Fv 1361";"Viken";"Vestby";59,602619;10,742795;"0.14487@2479113";NA;2021;99,98;99;11180;10060;1060;NA;NA;2,47;12,65;NA
"98682V444320";"Taraldrudveien";"FV1418 S2D1 m1115";"Fv 1418";"Viken";"Nordre Follo";59,797311;10,8396;"0.98682@444320";NA;2021;99,98;100;11110;9890;1180;NA;NA;1,89;12,23;NA
"57391V443788";"Skivn. Oslo Gr";"FV1422 S1D1 m900";"Fv 1422";"Viken";"Nordre Follo";59,819244;10,809572;"0.57391@443788";NA;2021;100;99;3790;3430;320;NA;NA;-7,75;13,46;NA
"43379V443819";"Kirkeveien Høvik";"FV1428 S1D1 m2773";"Fv 1428";"Viken";"Bærum";59,907572;10,564248;"0.43409@443819";NA;2021;100;99;8460;7120;1210;NA;NA;-2,18;11;NA
"18674V443880";"Kirkevn V/Hvalstad";"FV1436 S1D1 m729";"Fv 1436";"Viken";"Asker";59,857437;10,467993;"0.18674@443880";NA;2021;100;100;6620;6220;410;NA;-3,82;-0,71;8,86;NA
