områdetype;område;vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;Januar;5,814;66,670;303224;286563;2.158;19.390
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;Januar;-0,024;66,670;16521;16525;7.535;67.698
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;Januar;10,755;66,670;3625;3273;12.761;114.654
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;Januar;9,883;66,670;4047;3683;18.772;168.658
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;Januar;-14,608;66,670;2274;2663;19.440;174.665
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;Januar;-5,574;66,670;6251;6620;15.332;137.750
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;Januar;13,287;66,670;324;286;23.329;209.600
By;Nedre Glomma;E+R;Alle;Alle;Februar;7,962;66,670;1427144;1321898;1.195;10.736
By;Nedre Glomma;E+R;Alle;< 5,6m;Februar;8,632;66,620;1265179;1164652;1.527;13.722
By;Nedre Glomma;E+R;Alle;>= 5,6m;Februar;3,009;66,620;161615;156894;1.673;15.035
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;Februar;9,768;66,620;30510;27795;2.371;21.302
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;Februar;6,367;66,620;34614;32542;2.231;20.047
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;Februar;-2,131;66,620;25117;25664;31.572;283.662
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;Februar;0,588;66,620;67796;67400;5.210;46.808
By;Nedre Glomma;E+R;Alle;>= 24,0m;Februar;2,433;66,620;3578;3493;23.193;208.379
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;Februar;7,281;66,670;1104026;1029096;1.234;11.090
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;Februar;7,996;66,600;957926;887005;1.734;15.576
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;Februar;2,830;66,600;145775;141763;2.111;18.966
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;Februar;8,918;66,600;26893;24691;0.813;7.308
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;Februar;5,416;66,600;30911;29323;1.508;13.551
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;Februar;-2,036;66,600;22761;23234;33.462;300.642
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;Februar;0,994;66,600;61907;61298;5.385;48.383
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;Februar;2,673;66,600;3303;3217;23.274;209.110
By;Nedre Glomma;E+R;Helgedøgn;Alle;Februar;10,354;66,670;323118;292802;0.363;3.259
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;Februar;10,663;66,670;307253;277647;0.225;2.023
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;Februar;4,686;66,670;15840;15131;3.241;29.118
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;Februar;16,527;66,670;3617;3104;15.418;138.523
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;Februar;15,036;66,670;3703;3219;7.100;63.790
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;Februar;-3,045;66,670;2356;2430;12.340;110.875
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;Februar;-3,491;66,670;5889;6102;8.331;74.849
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;Februar;-0,362;66,670;275;276;24.599;221.017
By;Nedre Glomma;E+R;Alle;Alle;Mars;-16,684;58,130;1010001;1212248;0.946;8.504
By;Nedre Glomma;E+R;Alle;< 5,6m;Mars;-18,925;58,040;867739;1070298;0.869;7.806
By;Nedre Glomma;E+R;Alle;>= 5,6m;Mars;0,030;58,040;141659;141616;1.280;11.503
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;Mars;-7,560;58,040;24711;26732;4.412;39.639
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;Mars;-3,683;58,040;31223;32417;4.558;40.954
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;Mars;-0,654;58,040;22028;22173;26.166;235.088
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;Mars;5,786;58,040;60622;57306;5.653;50.791
By;Nedre Glomma;E+R;Alle;>= 24,0m;Mars;2,912;58,040;3075;2988;25.166;226.108
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;Mars;-12,990;58,190;801061;920656;1.129;10.141
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;Mars;-15,256;58,120;673195;794384;0.992;8.910
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;Mars;1,311;58,120;127620;125968;0.647;5.817
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;Mars;-5,486;58,120;21864;23133;4.631;41.606
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;Mars;-2,014;58,120;27836;28408;4.759;42.759
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;Mars;1,472;58,120;20057;19766;28.430;255.437
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;Mars;6,043;58,120;55062;51924;4.692;42.158
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;Mars;2,338;58,120;2801;2737;24.367;218.931
By;Nedre Glomma;E+R;Helgedøgn;Alle;Mars;-28,345;58,000;208940;291592;1.520;13.660
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;Mars;-29,491;57,860;194544;275914;0.842;7.568
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;Mars;-10,282;57,860;14039;15648;11.447;102.847
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;Mars;-20,895;57,860;2847;3599;6.223;55.915
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;Mars;-15,515;57,860;3387;4009;6.972;62.642
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;Mars;-18,114;57,860;1971;2407;7.153;64.267
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;Mars;3,307;57,860;5560;5382;25.362;227.873
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;Mars;9,163;57,860;274;251;35.701;320.764
By;Nedre Glomma;E+R;Alle;Alle;April;-37,835;33,330;792061;1274131;-;-
By;Nedre Glomma;E+R;Alle;< 5,6m;April;-41,151;32,960;665961;1131641;-;-
By;Nedre Glomma;E+R;Alle;>= 5,6m;April;-11,307;32,960;125157;141112;-;-
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;April;-29,693;32,960;21114;30031;-;-
