områdetype;område;vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
By;Tromsø;E;Alle;Alle;Mars;-20,909;99,970;1373149;1736155;0.639;0.793
By;Tromsø;E;Alle;< 5,6m;Mars;-22,479;99,410;1239332;1598698;0.566;0.703
By;Tromsø;E;Alle;>= 5,6m;Mars;-2,537;99,410;133060;136523;4.582;5.689
By;Tromsø;E;Alle;5,6m - 7,6m;Mars;-10,110;99,410;43922;48862;6.836;8.488
By;Tromsø;E;Alle;7,6m - 12,5m;Mars;-12,317;99,410;47114;53732;7.268;9.024
By;Tromsø;E;Alle;12,5m - 16,0m;Mars;34,595;99,410;22515;16728;28.636;35.556
By;Tromsø;E;Alle;16,0m - 24,0m;Mars;13,630;99,410;18616;16383;9.694;12.037
By;Tromsø;E;Alle;>= 24,0m;Mars;9,169;99,410;893;818;19.001;23.592
By;Tromsø;E;Yrkesdøgn;Alle;Mars;-17,589;99,980;1124801;1364860;1.174;1.458
By;Tromsø;E;Yrkesdøgn;< 5,6m;Mars;-19,207;99,440;1004954;1243866;1.253;1.555
By;Tromsø;E;Yrkesdøgn;>= 5,6m;Mars;-0,646;99,440;119376;120152;4.712;5.851
By;Tromsø;E;Yrkesdøgn;5,6m - 7,6m;Mars;-7,524;99,440;39849;43091;5.712;7.092
By;Tromsø;E;Yrkesdøgn;7,6m - 12,5m;Mars;-11,462;99,440;42507;48010;8.245;10.238
By;Tromsø;E;Yrkesdøgn;12,5m - 16,0m;Mars;40,548;99,440;19688;14008;30.712;38.134
By;Tromsø;E;Yrkesdøgn;16,0m - 24,0m;Mars;15,708;99,440;16648;14388;9.993;12.408
By;Tromsø;E;Yrkesdøgn;>= 24,0m;Mars;4,427;99,440;684;655;15.174;18.841
By;Tromsø;E;Helgedøgn;Alle;Mars;-33,113;99,960;248348;371295;0.992;1.232
By;Tromsø;E;Helgedøgn;< 5,6m;Mars;-33,947;99,340;234378;354832;0.995;1.236
By;Tromsø;E;Helgedøgn;>= 5,6m;Mars;-16,413;99,340;13684;16371;5.297;6.577
By;Tromsø;E;Helgedøgn;5,6m - 7,6m;Mars;-29,423;99,340;4073;5771;8.747;10.861
By;Tromsø;E;Helgedøgn;7,6m - 12,5m;Mars;-19,486;99,340;4607;5722;7.180;8.915
By;Tromsø;E;Helgedøgn;12,5m - 16,0m;Mars;3,934;99,340;2827;2720;13.865;17.215
By;Tromsø;E;Helgedøgn;16,0m - 24,0m;Mars;-1,353;99,340;1968;1995;8.131;10.096
By;Tromsø;E;Helgedøgn;>= 24,0m;Mars;28,221;99,340;209;163;39.013;48.441
By;Tromsø;E;Alle;Alle;April;-21,102;100,000;1282463;1625466;0.834;1.035
By;Tromsø;E;Alle;< 5,6m;April;-21,910;99,640;1171200;1499810;0.520;0.646
By;Tromsø;E;Alle;>= 5,6m;April;-10,931;99,640;109143;122538;3.737;4.641
By;Tromsø;E;Alle;5,6m - 7,6m;April;-17,013;99,640;36736;44267;8.423;10.458
By;Tromsø;E;Alle;7,6m - 12,5m;April;-15,712;99,640;41077;48734;6.299;7.821
By;Tromsø;E;Alle;12,5m - 16,0m;April;17,432;99,640;16094;13705;26.183;32.511
By;Tromsø;E;Alle;16,0m - 24,0m;April;-4,213;99,640;14484;15121;6.694;8.312
By;Tromsø;E;Alle;>= 24,0m;April;5,767;99,640;752;711;11.336;14.076
