fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;Juni;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;Juli;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;August;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;September;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;Oktober;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;November;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;Desember;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;Januar;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;Februar;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;Mars;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;April;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;Siste 12 måneder;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;>= 5,6m;Hittil i år;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;5,6m - 7,6m;Mai;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;5,6m - 7,6m;Juni;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;5,6m - 7,6m;Juli;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;5,6m - 7,6m;August;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Yrkesdøgn;5,6m - 7,6m;September;-;0,000;0;0
