"trp_id";"year";"day_type";"coverage";"n_days";"n_days_of_year";"valid_length_volume";"valid_speed_volume";"adt";"standard_deviation";"standard_error"
"26581V704695";2020;"WEEKEND";100;112;112;474;476;770;269;0
"94299V704696";2020;"WEEKEND";99,09;111;112;87;88;140;154;1,39
"02269V704697";2020;"WEEKEND";100;112;112;2196;2196;2200;606;0
"51205V704697";2020;"WEEKEND";91,04;102;112;773;776;1290;275;8,17
"91051V705252";2020;"WEEKEND";64,29;72;112;484;484;480;109;7,71
"00989V704704";2020;"WEEKEND";71,43;80;112;1832;1833;1830;345;20,71
"16779V705256";2020;"WEEKEND";100;112;112;754;755;1210;263;0
"29591V705257";2020;"WEEKEND";100;112;112;1545;1549;2380;475;0
"56374V705257";2020;"WEEKEND";100;112;112;1560;1560;1560;281;0
"31525V705258";2020;"WEEKEND";98,21;110;112;553;555;880;185;2,37
"94864V704707";2020;"WEEKEND";66,07;74;112;76;76;120;107;7,28
"14656V2499876";2020;"WEEKEND";73,21;82;112;1092;1092;1090;238;13,66
"51972V705259";2020;"WEEKEND";100;112;112;1734;1735;1740;313;0
"95419V704716";2020;"WEEKEND";100;112;112;2707;2707;2710;570;0
"72647V705260";2020;"WEEKEND";100;112;112;730;733;1130;234;0
"38240V705263";2020;"WEEKEND";100;112;112;578;581;950;240;0
"92375V704717";2020;"WEEKEND";100;112;112;755;758;1240;254;0
"48434V704718";2020;"WEEKEND";100;112;112;471;472;750;166;0
"09716V705339";2020;"WEEKEND";96,43;108;112;597;597;600;190;3,47
"82641V705036";2020;"WEEKEND";100;112;112;915;915;920;266;0
"12611V705265";2020;"WEEKEND";100;112;112;1946;1953;3130;878;0
"69284V705266";2020;"WEEKEND";100;112;112;1129;1129;1130;324;0
"73457V705267";2020;"WEEKEND";100;112;112;1150;1150;1150;274;0
"07152V705268";2020;"WEEKEND";61,61;69;112;3705;3712;5950;831;62,27
"34711V705268";2020;"WEEKEND";100;112;112;1886;1886;1890;492;0
"37343V1060687";2020;"WEEKEND";99,96;112;112;1224;1232;2120;525;0
"74984V1060687";2020;"WEEKEND";100;112;112;5379;5379;5380;1254;0
"88853V1060687";2020;"WEEKEND";100;112;112;5558;5558;5560;1571;0
"44155V1060152";2020;"WEEKEND";99,11;111;112;5070;5070;5070;1799;16,21
"06760V704724";2020;"WEEKEND";100;112;112;2464;2464;2460;670;0
"29130V704730";2020;"WEEKEND";79,46;89;112;1186;1188;1800;707;34,11
"24744V1060155";2020;"WEEKEND";100;112;112;1742;1742;1740;376;0
"11051V704737";2020;"WEEKEND";100;112;112;128;128;220;133;0
"02535V971411";2020;"WEEKEND";99,99;112;112;130;130;130;40;0
