"msnr";"msnavn";"maaned";"trafikkmengde.basisaar";"trafikkmengde.indeksaar";"indeks";"dekningsgrad"
9916061;"Landbruksvegen, O-snitt";"8";177844;164953;"-7.24848743842919";"100"
9916062;"Tungasletta, O-snitt";"8";231428;131937;"-42.9900444198628";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"8";397641;363119;"-8.68170032768251";"100"
9916065;"Bratsbergveien, O-snitt";"8";198697;165276;"-16.8200828397006";"100"
9916066;"Tempeveien, O-snitt";"8";104643;97150;"-7.16053629960914";"100"
9916067;"Bøckmans veg, B-snitt";"8";161458;144586;"-10.4497764124416";"100"
9916068;"Byåsveien, B-snitt";"8";296627;270014;"-8.97187376739137";"100"
9916069;"Gamle Oslovei, B-snitt";"8";117787;111988;"-4.92329374209378";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"8";162212;142697;"-12.0305526101645";"100"
9916086;"Tillerbrua, K-snitt";"8";88893;95743;"7.70589360242089";"100"
9916051;"Klett - Rv.707, S-snitt";"9";200858;203321;"1.22623943283315";"100"
9916052;"Klett - E6, S-snitt";"9";660013;616907;"-6.53108347865875";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"9";67005;62800;"-6.27565107081561";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"9";280857;273116;"-2.75620689532395";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"9";332278;320144;"-3.65176147683566";"100"
9916056;"Kroppan bru, M-snitt";"9";453047;424744;"-6.24725469984351";"100"
9916058;"Være (Gml. E6), N-snitt";"9";285514;271930;"-4.75773517235583";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"9";705393;702432;"-0.41976600278143";"100"
9916060;"Haakon VII s gt , O-snitt";"9";351709;333470;"-5.18582123289424";"100"
9916061;"Landbruksvegen, O-snitt";"9";151940;156726;"3.14992760300119";"100"
9916062;"Tungasletta, O-snitt";"9";229754;231409;"0.720335663361693";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"9";381511;381729;"0.0571412095588419";"100"
9916065;"Bratsbergveien, O-snitt";"9";191542;170072;"-11.2090298733437";"100"
9916066;"Tempeveien, O-snitt";"9";103818;107426;"3.47531256622167";"100"
9916067;"Bøckmans veg, B-snitt";"9";160324;157297;"-1.88805169531698";"100"
9916068;"Byåsveien, B-snitt";"9";299025;287848;"-3.73781456399966";"100"
9916069;"Gamle Oslovei, B-snitt";"9";117455;114082;"-2.8717381124686";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"9";219224;188763;"-13.8949202642046";"100"
9916086;"Tillerbrua, K-snitt";"9";43299;69146;"59.6942192660339";"100"
9916051;"Klett - Rv.707, S-snitt";"10";182227;206974;"13.5803146624814";"100"
9916052;"Klett - E6, S-snitt";"10";560583;620859;"10.752377435634";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"10";63144;68150;"7.92791080704423";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"10";270573;292475;"8.09467315659729";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"10";322698;340352;"5.47074974124413";"100"
9916056;"Kroppan bru, M-snitt";"10";421828;445921;"5.71156964449966";"100"
