Tellepunkt;Veg;Sted;Meter;HP;År;Felt;L.Klasse;ADT;ÅDTavvik;SDT;SDTavvik;YDT;YDTavvik;HDT;HDTavvik;JDT;JDTavvik
1200020;EV39;AMALIE/FLØYFJELLET;21030;81;2017;1;20;2865;1;2843;3;3339;1;1823;1;2201;0
1200020;EV39;AMALIE/FLØYFJELLET;21030;81;2017;R1;20;2865;1;2843;3;3339;1;1823;1;2201;0
1200021;EV39;AMALIE/SANDVIKEN;32190;81;2017;1;20;7166;1;7127;5;8011;1;5306;2;5887;0
1200021;EV39;AMALIE/SANDVIKEN;32190;81;2017;R1;20;7166;1;7127;5;8011;1;5306;2;5887;0
1200025;EV39;FLØYFJ NORDGÅENDE;777;19;2017;1;20;6793;-999;6554;-999;8254;-999;3576;-999;4885;-999
1200025;EV39;FLØYFJ NORDGÅENDE;777;19;2017;3;20;15751;-999;15408;-999;17421;-999;12075;-999;13521;-999
1200025;EV39;FLØYFJ NORDGÅENDE;777;19;2017;R1;20;22544;8;21962;0;25675;8;15650;7;18406;0
1200026;EV39;FLØYFJ SØRGÅENDE;14000;19;2017;1;20;5386;-999;5241;-999;6433;-999;3081;-999;3738;-999
1200026;EV39;FLØYFJ SØRGÅENDE;14000;19;2017;3;20;17757;-999;17688;-999;19563;-999;13779;-999;15489;-999
1200026;EV39;FLØYFJ SØRGÅENDE;14000;19;2017;R1;20;23143;8;22929;0;25996;8;16860;8;19227;0
1200028;EV39;SJØLINJEN;4412;17;2017;1;20;3979;-999;4006;-999;4839;-999;2087;-999;3423;-999
1200028;EV39;SJØLINJEN;4412;17;2017;2;20;4389;-999;4159;-999;5370;-999;2231;-999;2935;-999
1200028;EV39;SJØLINJEN;4412;17;2017;3;20;6450;-999;6931;-999;7089;-999;5045;-999;7074;-999
1200028;EV39;SJØLINJEN;4412;17;2017;4;20;4947;-999;4983;-999;5362;-999;4035;-999;4588;-999
1200028;EV39;SJØLINJEN;4412;17;2017;5;20;10719;-999;10570;-999;12033;-999;7827;-999;9064;-999
1200028;EV39;SJØLINJEN;4412;17;2017;6;20;10181;-999;9954;-999;11468;-999;7347;-999;8354;-999
400231;RV3;BREVAD;13200;18;2017;R0;20;2060;0;2993;0;2079;0;2019;0;3517;0
1200028;EV39;SJØLINJEN;4412;17;2017;R1;20;21149;67;21507;263;23960;76;14959;46;19561;511
1200028;EV39;SJØLINJEN;4412;17;2017;R2;20;19518;5;19095;18;22200;7;13612;0;15876;20
1200036;EV39;DANMARKSPLASS-ÅSANE;106;19;2017;1;20;9355;0;9050;0;10629;0;6548;0;7581;0
1200036;EV39;DANMARKSPLASS-ÅSANE;106;19;2017;R1;20;9355;0;9050;0;10629;0;6548;0;7581;0
1200037;EV39;DANMARKSPLASS-SENTR;16050;80;2017;1;20;3780;-999;3830;-999;4197;-999;2861;-999;3144;-999
1200037;EV39;DANMARKSPLASS-SENTR;16050;80;2017;3;20;3615;-999;3700;-999;4022;-999;2719;-999;3091;-999
1200037;EV39;DANMARKSPLASS-SENTR;16050;80;2017;R1;20;7395;0;7529;0;8219;0;5579;0;6235;0
1200040;EV39;SENTRUM-DANMPL.;61050;80;2017;1;20;4892;0;4714;0;5507;0;3537;0;3811;0
1200040;EV39;SENTRUM-DANMPL.;61050;80;2017;R1;20;4892;0;4714;0;5507;0;3537;0;3811;0
1200045;EV39;VESTRE - DANMPL.;21020;80;2017;1;20;9179;0;8886;0;10613;0;6023;0;7106;0
1200045;EV39;VESTRE - DANMPL.;21020;80;2017;R1;20;9179;0;8886;0;10613;0;6023;0;7106;0
1200046;EV39;VESTRE-FLØYFJELL;23183;80;2017;1;20;10650;0;10564;0;12129;0;7393;0;8889;0
1200046;EV39;VESTRE-FLØYFJELL;23183;80;2017;R1;20;10650;0;10564;0;12129;0;7393;0;8889;0
1200047;EV39;VESTRE-SENTRUM;26020;80;2017;1;20;5215;0;5175;0;5866;0;3783;0;4186;0
1200047;EV39;VESTRE-SENTRUM;26020;80;2017;R1;20;5215;0;5175;0;5866;0;3783;0;4186;0
1200048;EV39;FLØYFJELL-VESTRE;32335;80;2017;1;20;9799;0;9868;0;10896;0;7385;0;8331;0
1200048;EV39;FLØYFJELL-VESTRE;32335;80;2017;R1;20;9799;0;9868;0;10896;0;7385;0;8331;0
1200049;EV39;DANMPLASS-VESTRE;12305;80;2017;1;20;6790;0;6644;0;7821;0;4519;0;5353;0
1200049;EV39;DANMPLASS-VESTRE;12305;80;2017;R1;20;6790;0;6644;0;7821;0;4519;0;5353;0
1200053;EV39;SENTRUM - VESTRE;62260;80;2017;1;20;3790;0;3473;0;4285;0;2701;0;2759;0
1200053;EV39;SENTRUM - VESTRE;62260;80;2017;R1;20;3790;0;3473;0;4285;0;2701;0;2759;0
1200070;EV39;VÅGSBOTN;5540;20;2017;1;20;9186;-999;9223;-999;10268;-999;6803;-999;8414;-999
1200070;EV39;VÅGSBOTN;5540;20;2017;2;20;4238;-999;4406;-999;4655;-999;3320;-999;3777;-999
1200070;EV39;VÅGSBOTN;5540;20;2017;3;20;6870;-999;7271;-999;7773;-999;4884;-999;6427;-999
1200070;EV39;VÅGSBOTN;5540;20;2017;4;20;12145;-999;12465;-999;13244;-999;9725;-999;11318;-999
400234;RV25;VESTAD V/NSB;580;3;2017;R0;20;19077;0;19204;0;21509;0;13724;0;17047;0
1200070;EV39;VÅGSBOTN;5540;20;2017;R1;20;16056;0;16494;2;18040;1;11687;0;14841;0
1200070;EV39;VÅGSBOTN;5540;20;2017;R2;20;16383;0;16871;2;17899;1;13045;0;15095;0
1200077;EV39;MEHAMMAR;3556;9;2017;1;20;1689;0;1930;0;1720;0;1622;0;1854;0
1200077;EV39;MEHAMMAR;3556;9;2017;2;20;1686;0;1932;0;1758;0;1527;0;1854;0
400236;FV29;GRAVBEKKLIA;5604;5;2017;R0;20;564;3;1092;2;544;2;609;3;1431;0
1200077;EV39;MEHAMMAR;3556;9;2017;R1;20;1689;0;1930;0;1720;0;1622;0;1854;0
1200077;EV39;MEHAMMAR;3556;9;2017;R2;20;1686;0;1932;0;1758;0;1527;0;1854;0
1200081;EV39;ROMARHEIMSDALEN ;5894;31;2017;1;20;1062;0;1372;0;1095;0;990;0;1498;0
1200081;EV39;ROMARHEIMSDALEN ;5894;31;2017;2;20;1052;0;1358;0;976;0;1219;1;1463;0
400237;RV2;HASLEMOSLETTA;4175;11;2017;R0;20;3267;0;3451;0;3611;0;2510;0;3249;0
1200081;EV39;ROMARHEIMSDALEN ;5894;31;2017;R1;20;1062;0;1372;0;1095;0;990;0;1498;0
1200081;EV39;ROMARHEIMSDALEN ;5894;31;2017;R2;20;1052;0;1358;0;976;0;1219;1;1463;0
1200089;EV39;DANMARKSPLASS SØR;2840;18;2017;1;20;7289;-999;7090;-999;8466;-999;4698;-999;5483;-999
1200089;EV39;DANMARKSPLASS SØR;2840;18;2017;2;20;4647;-999;4171;-999;5655;-999;2428;-999;3162;-999
1200089;EV39;DANMARKSPLASS SØR;2840;18;2017;3;20;11023;-999;10790;-999;12426;-999;7935;-999;9272;-999
1200089;EV39;DANMARKSPLASS SØR;2840;18;2017;4;20;11158;-999;10877;-999;12439;-999;8339;-999;9134;-999
1200089;EV39;DANMARKSPLASS SØR;2840;18;2017;5;20;3240;-999;2574;-999;3745;-999;2127;-999;1927;-999
1200089;EV39;DANMARKSPLASS SØR;2840;18;2017;6;20;7070;-999;6641;-999;8105;-999;4791;-999;5281;-999
400241;FV30;ÅKRESTRØMMEN S;13455;2;2017;R0;20;460;35;575;47;503;37;366;30;627;51
1200089;EV39;DANMARKSPLASS SØR;2840;18;2017;R1;20;21552;0;20454;0;24637;0;14759;0;16682;0
1200089;EV39;DANMARKSPLASS SØR;2840;18;2017;R2;20;22875;0;21689;0;26198;0;15558;0;17576;0
1200095;EV39;HEIANE BRU;23060;68;2017;1;20;6940;1;6738;4;8001;1;4605;0;5883;11
1200095;EV39;HEIANE BRU;23060;68;2017;2;20;3693;0;3777;0;4270;0;2423;0;3423;1
400245;EV16;ULLERN;3875;1;2017;R0;20;8735;0;9313;0;9111;0;7908;0;8972;0
1200095;EV39;HEIANE BRU;23060;68;2017;R1;20;6940;1;6738;4;8001;1;4605;0;5883;11
1200095;EV39;HEIANE BRU;23060;68;2017;R2;20;3693;0;3777;0;4270;0;2423;0;3423;1
1200099;EV39;STORD-HEIANE/SAGVÅG;32210;68;2017;1;20;786;-999;725;-999;889;-999;559;-999;620;-999
